shop_id,shop_name,date_paid_simple,order_num,order_amount,paid_user_num,type
2220,크러시제이,2019-10-21,9,501200,8,zpay
2220,크러시제이,2019-10-21,21,1209070,21,meta
2413,드보우,2019-10-21,5,460000,5,meta
5387,미니걸스,2019-10-21,3,160200,3,meta
5387,미니걸스,2019-10-22,6,480100,6,meta
2220,크러시제이,2019-10-22,13,556700,13,zpay
2413,드보우,2019-10-22,4,259000,4,meta
2003,더제이수,2019-10-22,14,1001350,14,meta
2003,더제이수,2019-10-22,29,1669100,29,zpay
3492,바이비브,2019-10-22,3,139200,3,meta
2220,크러시제이,2019-10-22,22,1266400,22,meta
6147,미코미코,2019-10-22,6,210750,6,meta
2220,크러시제이,2019-10-23,36,1815500,36,meta
2003,더제이수,2019-10-23,15,768700,15,meta
5387,미니걸스,2019-10-23,6,360400,6,meta
6147,미코미코,2019-10-23,6,239400,6,meta
2003,더제이수,2019-10-23,16,635350,16,zpay
3492,바이비브,2019-10-23,3,204100,3,meta
2220,크러시제이,2019-10-23,10,505300,9,zpay
2413,드보우,2019-10-23,6,328500,6,meta
6147,미코미코,2019-10-24,2,80800,2,meta
2220,크러시제이,2019-10-24,4,296000,4,zpay
5387,미니걸스,2019-10-24,6,422900,6,meta
2413,드보우,2019-10-24,5,331600,5,meta
2220,크러시제이,2019-10-24,13,769980,13,meta
2003,더제이수,2019-10-24,20,872700,20,zpay
3492,바이비브,2019-10-24,4,345950,4,meta
2003,더제이수,2019-10-24,12,1192232,12,meta
2220,크러시제이,2019-10-25,4,200000,3,zpay
3492,바이비브,2019-10-25,5,373920,5,meta
2003,더제이수,2019-10-25,10,457050,10,zpay
5387,미니걸스,2019-10-25,5,452300,5,meta
2003,더제이수,2019-10-25,9,588410,9,meta
2413,드보우,2019-10-25,6,313000,6,meta
6147,미코미코,2019-10-25,2,60240,2,meta
2220,크러시제이,2019-10-25,14,847300,14,meta
2003,더제이수,2019-10-26,16,1354650,16,meta
2220,크러시제이,2019-10-26,8,381200,7,zpay
2413,드보우,2019-10-26,2,151500,2,meta
6147,미코미코,2019-10-26,1,51300,1,meta
2220,크러시제이,2019-10-26,12,868800,12,meta
2003,더제이수,2019-10-26,33,1445100,33,zpay
3492,바이비브,2019-10-26,6,442080,6,meta
5387,미니걸스,2019-10-26,2,123400,2,meta
2220,크러시제이,2019-10-27,8,482400,8,meta
2413,드보우,2019-10-27,1,131200,1,meta
2003,더제이수,2019-10-27,82,5121600,81,zpay
2003,더제이수,2019-10-27,37,2659950,37,meta
5387,미니걸스,2019-10-27,5,271000,5,meta
6147,미코미코,2019-10-27,4,131900,4,meta
2220,크러시제이,2019-10-27,2,72000,2,zpay
3492,바이비브,2019-10-27,3,286780,3,meta
2220,크러시제이,2019-10-28,9,268000,9,zpay
3492,바이비브,2019-10-28,2,120100,2,meta
6147,미코미코,2019-10-28,5,192900,5,meta
5387,미니걸스,2019-10-28,4,268800,4,meta
2003,더제이수,2019-10-28,102,4271900,98,zpay
2220,크러시제이,2019-10-28,22,1141622,22,meta
2003,더제이수,2019-10-28,48,3636800,48,meta
2413,드보우,2019-10-28,5,519700,5,meta
